#date,category,value
23/01/2020,Food & Drinks,-10.70
23/01/2020,Entertainment,-15
20/01/2020,Food & Drinks,-16.15
19/01/2020,Food & Drinks,-4.66
18/01/2020,Food & Drinks,-4.45
18/01/2020,Entertainment,-12
18/01/2020,Food & Drinks,-20.5
17/01/2020,Toys & Electronics,13
16/01/2020,Food & Drinks,-11.25
15/01/2020,Internet,-24.95
14/01/2020,Food & Drinks,-150
14/01/2020,Food & Drinks,-2.39
13/01/2020,Food & Drinks,-7.1
12/01/2020,Food & Drinks,-4.53
11/01/2020,Food & Drinks,-31.41
11/01/2020,Friends & Family,2.64
10/01/2020,Electricity,-96
10/01/2020,Food & Drinks,-1.5
09/01/2020,Food & Drinks,-4.40
08/01/2020,Clothes,-32
07/01/2020,Work,98
06/01/2020,Medical & Insurances,-8.98
06/01/2020,Medical & Insurances,-22.36
06/01/2020,Food & Drinks,-8.6
05/01/2020,Food & Drinks,-2.45
04/01/2020,Food & Drinks,-21.75
03/01/2020,Water,-78.66
03/01/2020,Food & Drinks,-5.65
02/01/2020,Electricity,840.54
02/01/2020,Appartment,-40
02/01/2020,Food & Drinks,-24.25
02/01/2020,Friends & Family,24.78
01/01/2020,Friends & Family,350
31/12/2019,Appartment,-275.37
31/12/2019,Food & Drinks,-5.1
31/12/2019,Food & Drinks,-5.2
31/12/2019,Taxes,-6.25
30/12/2019,Food & Drinks,-15.85
30/12/2019,Food & Drinks,-7
29/12/2019,Food & Drinks,-3.4
28/12/2019,Food & Drinks,-19.9
28/12/2019,Food & Drinks,-5.2
27/12/2019,Taxes,1736.91
27/12/2019,Food & Drinks,-30.35
26/12/2019,Food & Drinks,-19.10
25/12/2019,Food & Drinks,-15.12
24/12/2019,Food & Drinks,-15.63
24/12/2019,Work,3483.69
23/12/2019,Food & Drinks,-33.10
23/12/2019,Food & Drinks,-15.5
22/12/2019,Food & Drinks,-10.6
21/12/2019,Food & Drinks,-18.87
21/12/2019,Entertainment,10.5
21/12/2019,Food & Drinks,-10
